Candidate_ID,Skills,Experience,Education
C65,"['Docker', 'NLP', 'Data Analysis', 'AWS', 'Java']",0,PhD
C83,"['Deep Learning', 'Python', 'Data Analysis', 'Java']",5,Bachelors
C88,"['Data Analysis', 'Deep Learning', 'Docker', 'Python']",0,Masters
C73,"['Data Analysis', 'Python', 'Java', 'Docker', 'SQL']",0,Bachelors
C89,"['Docker', 'Python', 'NLP', 'AWS', 'Java']",2,Bachelors
C93,"['AWS', 'NLP', 'Data Analysis', 'Deep Learning']",10,Masters
C49,"['Machine Learning', 'Python', 'AWS', 'Data Analysis', 'Deep Learning']",10,Masters
C98,"['NLP', 'Deep Learning', 'Docker', 'Machine Learning', 'Java']",9,Bachelors
C64,"['Docker', 'Java', 'Machine Learning']",1,PhD
C85,"['Deep Learning', 'NLP', 'Java', 'SQL']",4,PhD
C52,"['Python', 'AWS', 'Docker']",7,Masters
C67,"['Python', 'Java', 'Docker', 'Data Analysis', 'NLP', 'Machine Learning']",8,Bachelors
C92,"['Deep Learning', 'AWS', 'NLP', 'Machine Learning', 'SQL']",8,Bachelors
C25,"['Deep Learning', 'Data Analysis', 'NLP', 'Machine Learning', 'SQL', 'Python']",9,PhD
C53,"['Python', 'Java', 'SQL', 'Data Analysis', 'NLP']",4,Bachelors
C12,"['SQL', 'Machine Learning', 'Python', 'NLP']",0,Bachelors
C96,"['Deep Learning', 'Docker', 'Data Analysis']",8,Masters
C77,"['SQL', 'Data Analysis', 'Deep Learning', 'Docker', 'Java']",8,PhD
C29,"['Java', 'Docker', 'Machine Learning']",9,PhD
C50,"['AWS', 'Java', 'Docker', 'SQL', 'NLP', 'Machine Learning']",0,Bachelors
C39,"['Data Analysis', 'SQL', 'Deep Learning']",7,Masters
C93,"['AWS', 'Data Analysis', 'Python']",2,Bachelors
C72,"['Python', 'Data Analysis', 'Deep Learning', 'NLP', 'Docker', 'Java']",7,PhD
C24,"['Java', 'SQL', 'Data Analysis', 'AWS', 'Deep Learning', 'NLP']",2,Masters
C33,"['AWS', 'NLP', 'Java', 'Data Analysis', 'Docker']",3,Bachelors
C62,"['Java', 'AWS', 'Docker', 'Deep Learning', 'Data Analysis', 'Python']",6,Masters
C24,"['Deep Learning', 'Java', 'Machine Learning', 'SQL', 'NLP', 'Python']",4,Bachelors
C27,"['Python', 'SQL', 'Data Analysis']",5,Masters
C78,"['Machine Learning', 'SQL', 'NLP']",2,Bachelors
C9,"['Docker', 'SQL', 'Java', 'AWS', 'Deep Learning', 'NLP']",7,Bachelors
C16,"['AWS', 'Deep Learning', 'SQL', 'Machine Learning', 'Python', 'Data Analysis']",5,PhD
C96,"['Java', 'Machine Learning', 'Data Analysis']",5,Masters
C36,"['Docker', 'Java', 'SQL']",5,Masters
C23,"['SQL', 'Java', 'Docker', 'Data Analysis', 'NLP', 'Machine Learning']",9,PhD
C94,"['NLP', 'Data Analysis', 'Deep Learning', 'Java', 'SQL']",7,PhD
C26,"['Java', 'NLP', 'Data Analysis', 'Machine Learning']",4,Masters
C97,"['Docker', 'Data Analysis', 'NLP', 'Deep Learning']",3,Masters
C62,"['Machine Learning', 'Docker', 'NLP']",5,Bachelors
C11,"['SQL', 'Java', 'Python', 'NLP', 'AWS', 'Deep Learning']",5,PhD
C26,"['Deep Learning', 'Docker', 'NLP', 'Java']",4,PhD
C37,"['NLP', 'Python', 'Machine Learning', 'Docker', 'AWS', 'Deep Learning']",7,Bachelors
C45,"['Deep Learning', 'AWS', 'Java']",9,Bachelors
C42,"['Data Analysis', 'Deep Learning', 'SQL', 'Docker', 'Java']",3,Masters
C65,"['SQL', 'Data Analysis', 'NLP', 'Machine Learning', 'AWS']",0,PhD
C20,"['Machine Learning', 'NLP', 'Java', 'Docker', 'SQL', 'AWS']",4,Masters
C34,"['AWS', 'Machine Learning', 'Python', 'SQL']",10,PhD
C31,"['Python', 'AWS', 'SQL']",10,Bachelors
C82,"['Docker', 'Deep Learning', 'SQL', 'Machine Learning']",2,Masters
C96,"['Machine Learning', 'Data Analysis', 'Java', 'NLP', 'Python', 'SQL']",5,PhD
C5,"['Docker', 'AWS', 'SQL', 'Data Analysis', 'Java', 'NLP']",8,PhD
